n;RN;AVL;B-1;B-5;B-10
668;7980;20349;15331;12012;12049
669;7955;20477;15277;12051;12054
670;7971;20393;15331;12058;12098
671;7996;20455;15392;12070;12116
672;8033;20499;15424;12108;12134
673;8019;20548;15452;12104;12152
674;8067;20607;15493;12138;12159
675;8065;20576;15530;12178;12195
676;8105;20658;15541;12190;12229
677;8064;20583;15546;12192;12234
678;8108;20754;15545;12215;12261
679;8152;20794;15529;12249;12276
680;8107;20809;15640;12270;12316
681;8164;20841;15621;12283;12304
682;8171;20882;15607;12291;12337
683;8166;20869;15658;12322;12353
684;8162;20938;15680;12334;12413
685;8182;20948;15711;12387;12409
686;8199;21005;15760;12349;12419
687;8221;20975;15843;12386;12466
688;8269;21072;15810;12445;12438
689;8230;21032;15839;12441;12486
690;8276;21163;15875;12474;12501
691;8270;21202;15914;12492;12525
692;8314;21239;15939;12496;12544
693;8321;21251;15927;12514;12549
694;8332;21289;15996;12544;12585
695;8329;21301;15967;12543;12597
696;8371;21325;16025;12569;12615
697;8341;21415;16007;12601;12657
698;8372;21458;16092;12628;12654
699;8381;21452;16067;12633;12678
700;8365;21486;16146;12657;12695
701;8440;21597;16139;12699;12740
702;8440;21671;16125;12697;12726
703;8429;21609;16190;12708;12751
704;8449;21648;16221;12743;12759
705;8481;21646;16218;12768;12827
706;8423;21658;16207;12769;12820
707;8494;21751;16290;12802;12854
708;8513;21775;16348;12837;12859
709;8512;21792;16407;12838;12884
710;8531;21834;16391;12843;12897
711;8573;21920;16420;12891;12927
712;8595;21900;16472;12910;12926
713;8591;21954;16392;12907;12956
714;8601;21996;16529;12914;12973
715;8631;21989;16486;12993;13005
716;8609;21989;16529;12986;13027
717;8639;22035;16586;13014;13057
718;8603;22083;16615;13034;13033
719;8687;22204;16563;13064;13094
720;8640;22140;16664;13082;13094
721;8691;22203;16652;13091;13145
722;8685;22164;16663;13131;13148
723;8742;22340;16702;13162;13158
724;8753;22370;16726;13169;13172
725;8752;22436;16745;13194;13211
726;8762;22420;16752;13195;13237
727;8793;22388;16854;13237;13246
728;8765;22461;16854;13252;13258
729;8787;22538;16911;13253;13308
730;8789;22505;16878;13296;13304
731;8802;22559;16933;13297;13316
732;8836;22680;16978;13305;13351
733;8836;22595;16935;13329;13381
734;8801;22639;16992;13352;13380
735;8835;22670;16974;13404;13401
736;8835;22729;17015;13434;13449
737;8840;22744;17064;13422;13432
