n;RN;AVL;B-1;B-5;B-10
209;2123;5304;4103;3318;3262
210;2146;5337;4139;3334;3269
211;2171;5380;4170;3346;3305
212;2167;5410;4160;3365;3316
213;2190;5445;4196;3381;3338
214;2194;5453;4224;3409;3353
215;2155;5467;4237;3429;3369
216;2185;5519;4270;3443;3383
217;2215;5505;4280;3452;3399
218;2239;5548;4288;3468;3415
219;2271;5598;4347;3493;3433
220;2275;5655;4357;3503;3448
221;2283;5696;4382;3527;3471
222;2260;5672;4396;3543;3490
223;2298;5732;4417;3565;3504
224;2290;5737;4435;3587;3529
225;2300;5733;4461;3594;3537
226;2326;5788;4480;3627;3559
227;2323;5831;4523;3641;3570
228;2335;5875;4547;3653;3591
229;2352;5883;4563;3670;3606
230;2383;5933;4603;3698;3626
231;2379;5971;4638;3714;3639
232;2397;5984;4620;3727;3652
233;2393;5983;4638;3745;3675
234;2428;6102;4650;3761;3700
235;2432;6105;4683;3778;3720
236;2459;6128;4727;3798;3722
237;2443;6116;4727;3828;3749
238;2453;6183;4795;3841;3770
239;2467;6182;4791;3854;3782
240;2485;6212;4820;3864;3795
241;2503;6261;4840;3887;3824
242;2501;6282;4869;3909;3839
243;2509;6305;4883;3925;3858
244;2520;6322;4896;3939;3869
245;2546;6380;4927;3963;3890
246;2572;6393;4921;3966;3907
247;2566;6466;4956;4006;3925
248;2579;6495;5009;4010;3946
249;2572;6457;5002;4026;3957
250;2614;6543;5027;4043;3979
251;2618;6558;5064;4069;3997
252;2644;6557;5072;4080;4008
253;2644;6664;5109;4115;4024
254;2647;6641;5128;4126;4050
255;2656;6663;5138;4144;4059
256;2700;6713;5173;4151;4077
257;2670;6716;5200;4177;4105
258;2711;6793;5193;4194;4121
259;2721;6782;5237;4218;4127
260;2719;6814;5253;4228;4158
261;2758;6879;5300;4253;4168
262;2752;6882;5325;4277;4188
263;2758;6926;5333;4290;4199
264;2803;6970;5351;4310;4224
265;2765;6992;5357;4312;4239
266;2813;7027;5412;4339;4249
267;2805;7029;5454;4359;4280
268;2809;7067;5454;4375;4290
269;2829;7117;5449;4403;4313
270;2880;7173;5521;4417;4337
271;2872;7168;5538;4437;4351
272;2887;7249;5544;4439;4352
273;2892;7259;5554;4470;4391
274;2896;7253;5593;4480;4390
275;2889;7333;5606;4498;4407
276;2923;7338;5647;4525;4429
277;2941;7342;5680;4536;4463
278;2980;7429;5702;4558;4463
279;2963;7441;5725;4584;4494
280;2977;7467;5764;4603;4494
281;2988;7518;5771;4607;4519
282;2996;7516;5775;4622;4550
283;2992;7548;5795;4642;4558
284;3011;7590;5853;4655;4590
285;3030;7612;5861;4692;4589
286;3067;7673;5852;4717;4614
287;3070;7725;5884;4713;4621
288;3100;7717;5915;4758;4643
289;3101;7752;5941;4759;4670
290;3081;7768;5978;4777;4678
291;3065;7738;6013;4784;4711
292;3128;7865;6018;4808;4712
293;3141;7839;6046;4835;4738
294;3138;7845;6076;4846;4758
295;3146;7917;6055;4875;4781
296;3153;7927;6093;4893;4797
297;3179;7980;6151;4911;4814
298;3206;8011;6188;4912;4832
299;3213;8047;6179;4932;4844
300;3209;8057;6193;4973;4864
301;3190;8060;6243;4968;4889
302;3252;8180;6267;5004;4913
303;3259;8180;6305;5032;4929
304;3272;8188;6308;5040;4946
305;3254;8207;6315;5053;4968
306;3276;8255;6352;5074;4984
307;3302;8267;6383;5113;5003
308;3317;8325;6394;5109;5016
309;3315;8345;6415;5124;5036
310;3324;8391;6469;5141;5039
311;3315;8395;6477;5168;5065
312;3351;8444;6522;5170;5080
313;3384;8497;6505;5215;5091
314;3382;8483;6546;5227;5124
315;3416;8519;6553;5239;5138
316;3439;8645;6583;5259;5162
317;3428;8656;6588;5289;5176
318;3443;8676;6639;5305;5188
319;3444;8671;6672;5319;5206
320;3453;8693;6674;5340;5229
321;3477;8759;6690;5347;5239
322;3503;8787;6752;5371;5284
323;3495;8804;6767;5387;5285
324;3493;8869;6764;5415;5303
325;3527;8854;6818;5432;5319
326;3544;8934;6817;5454;5366
327;3572;8950;6859;5472;5369
328;3545;8947;6866;5498;5378
329;3585;8990;6906;5497;5403
330;3595;9036;6963;5521;5419
331;3550;9013;6946;5541;5437
332;3587;9111;7005;5569;5448
333;3675;9184;6991;5574;5480
334;3632;9131;7020;5607;5495
335;3636;9209;7022;5619;5514
336;3634;9202;7049;5621;5527
337;3695;9243;7115;5656;5585
338;3699;9311;7134;5670;5585
339;3718;9330;7156;5678;5595
340;3696;9372;7179;5710;5625
341;3748;9409;7201;5742;5639
342;3753;9408;7202;5748;5644
343;3767;9444;7202;5789;5682
344;3766;9499;7257;5781;5702
345;3791;9551;7261;5803;5712
346;3772;9545;7300;5813;5723
347;3768;9524;7329;5823;5754
348;3829;9617;7363;5867;5776
349;3853;9677;7405;5874;5783
350;3832;9667;7389;5910;5802
351;3859;9752;7422;5923;5834
352;3846;9714;7438;5925;5837
353;3864;9776;7462;5956;5873
354;3892;9808;7487;5962;5897
355;3930;9855;7503;6008;5896
356;3931;9895;7517;6028;5923
357;3945;9928;7563;6051;5941
358;3937;9902;7571;6047;5951
359;3968;9934;7604;6056;5969
360;3948;9962;7623;6087;5993
361;3964;10052;7646;6112;6000
362;3967;10038;7668;6127;6013
363;4011;10095;7707;6139;6077
364;3995;10114;7726;6169;6073
365;4001;10134;7743;6172;6092
366;4027;10214;7805;6196;6119
367;4037;10220;7792;6236;6127
368;4041;10221;7818;6255;6130
369;4079;10252;7852;6266;6179
370;4100;10377;7912;6274;6165
371;4112;10367;7878;6291;6223
372;4094;10354;7907;6309;6236
373;4143;10424;7965;6326;6227
374;4130;10464;7957;6343;6247
375;4148;10457;8029;6369;6276
376;4156;10465;8026;6395;6313
377;4179;10571;8046;6405;6310
378;4203;10569;8068;6437;6347
379;4193;10567;8083;6441;6352
380;4214;10633;8100;6472;6370
381;4243;10668;8132;6490;6393
382;4241;10749;8194;6492;6404
383;4260;10778;8204;6538;6428
384;4266;10784;8215;6528;6455
385;4267;10802;8235;6565;6452
386;4302;10838;8270;6572;6495
387;4289;10827;8266;6602;6520
388;4311;10879;8312;6597;6532
389;4336;10906;8360;6643;6555
390;4360;11033;8360;6657;6580
391;4344;10976;8366;6674;6584
392;4363;11030;8441;6682;6622
393;4400;11085;8402;6712;6628
394;4373;11115;8444;6753;6645
395;4410;11096;8472;6758;6683
396;4390;11142;8487;6778;6681
397;4404;11152;8534;6799;6710
398;4439;11198;8545;6802;6730
399;4468;11279;8605;6822;6748
400;4465;11259;8619;6841;6756
401;4456;11279;8627;6861;6775
402;4475;11339;8646;6890;6799
403;4485;11405;8685;6918;6821
404;4532;11416;8730;6908;6835
405;4496;11430;8736;6954;6872
406;4507;11465;8786;6955;6879
407;4530;11546;8789;6974;6884
408;4563;11543;8803;6963;6901
409;4536;11542;8832;7018;6940
410;4597;11614;8842;7037;6965
411;4599;11650;8845;7051;6980
412;4588;11679;8895;7076;7003
413;4653;11720;8925;7071;7016
414;4611;11763;8955;7087;7028
415;4629;11736;8958;7136;7054
416;4640;11803;8974;7156;7065
417;4664;11837;9014;7155;7080
418;4687;11867;9032;7173;7119
419;4679;11927;9029;7200;7134
420;4715;11969;9044;7224;7155
421;4726;11953;9101;7239;7159
422;4743;12051;9129;7268;7196
423;4748;12048;9143;7264;7207
424;4766;12100;9158;7299;7237
425;4753;12054;9175;7320;7242
426;4775;12118;9227;7337;7263
427;4823;12187;9230;7359;7294
428;4803;12226;9308;7371;7294
429;4819;12220;9303;7386;7319
430;4882;12266;9346;7417;7337
431;4854;12275;9362;7427;7370
