n;RN;AVL;B-1;B-5;B-10
233;645;2347;1844;1762;1740
234;663;2351;1847;1769;1744
235;653;2362;1866;1777;1754
236;651;2391;1860;1782;1760
237;667;2409;1892;1796;1770
238;653;2412;1893;1807;1789
239;667;2425;1887;1816;1799
240;657;2421;1905;1809;1786
241;677;2449;1899;1823;1807
242;676;2463;1923;1838;1813
243;679;2475;1951;1841;1824
244;688;2471;1941;1850;1830
245;687;2495;1948;1867;1847
246;699;2517;1958;1868;1843
247;684;2508;1973;1887;1864
248;692;2530;1969;1884;1867
249;702;2539;1997;1894;1871
250;689;2552;1999;1911;1884
251;698;2558;2007;1922;1908
252;719;2568;2014;1925;1900
253;707;2582;2028;1930;1921
254;712;2601;2033;1943;1919
255;715;2616;2050;1959;1932
256;716;2614;2062;1967;1937
257;715;2647;2088;1981;1966
258;717;2638;2071;1984;1966
259;719;2662;2081;1987;1976
260;732;2659;2095;1998;1994
261;725;2668;2088;2013;1994
262;738;2696;2121;2030;2007
263;734;2694;2123;2030;2017
264;732;2713;2126;2047;2026
265;741;2733;2133;2054;2030
266;752;2738;2158;2054;2027
267;743;2755;2150;2057;2040
268;741;2751;2169;2074;2057
269;746;2764;2173;2075;2057
270;755;2778;2197;2098;2086
271;763;2785;2195;2118;2086
272;763;2800;2206;2110;2091
273;760;2816;2212;2120;2107
274;769;2834;2222;2141;2115
275;765;2833;2233;2138;2121
276;779;2866;2237;2143;2127
277;773;2863;2242;2154;2144
278;770;2886;2261;2182;2149
279;778;2885;2272;2179;2165
280;792;2913;2282;2197;2171
281;774;2908;2292;2196;2194
282;783;2925;2306;2205;2183
283;796;2945;2313;2219;2203
284;793;2951;2320;2219;2207
285;803;2959;2335;2233;2220
286;796;2974;2333;2249;2224
287;789;2975;2349;2269;2239
288;802;3005;2355;2264;2252
289;813;3001;2363;2280;2251
290;806;3018;2392;2297;2270
291;817;3028;2393;2282;2262
292;806;3034;2389;2309;2281
293;822;3052;2416;2315;2296
294;827;3068;2421;2339;2304
295;823;3084;2431;2341;2315
296;827;3094;2435;2352;2320
297;827;3100;2452;2358;2337
298;826;3120;2452;2369;2350
299;832;3117;2457;2361;2344
300;837;3138;2480;2377;2364
301;834;3160;2482;2396;2375
302;835;3157;2485;2403;2382
303;846;3180;2502;2415;2385
304;850;3183;2518;2421;2410
305;862;3181;2531;2436;2400
306;850;3199;2539;2435;2405
307;858;3218;2551;2457;2434
308;872;3236;2563;2462;2436
