n;RN;AVL;B-1;B-5;B-10
238;3846;4463;0;0;0
239;3863;4484;0;0;0
240;3882;4505;0;0;0
241;3899;4526;0;0;0
242;3920;4547;0;0;0
243;3937;4568;0;0;0
244;3956;4589;0;0;0
245;3973;4610;0;0;0
246;3996;4631;0;0;0
247;4013;4652;0;0;0
248;4032;4673;0;0;0
249;4049;4694;0;0;0
250;4070;4715;0;0;0
251;4087;4736;0;0;0
252;4106;4757;0;0;0
253;4123;4778;0;0;0
254;4149;4799;0;0;0
255;4167;4820;0;0;0
256;4187;4838;0;0;0
257;4205;4861;0;0;0
258;4227;4884;0;0;0
259;4245;4907;0;0;0
260;4265;4930;0;0;0
261;4283;4953;0;0;0
262;4307;4976;0;0;0
263;4325;4999;0;0;0
264;4345;5022;0;0;0
265;4363;5045;0;0;0
266;4385;5068;0;0;0
267;4403;5091;0;0;0
268;4423;5114;0;0;0
269;4441;5137;0;0;0
270;4467;5160;0;0;0
271;4485;5183;0;0;0
272;4505;5206;0;0;0
273;4523;5229;0;0;0
274;4545;5252;0;0;0
275;4563;5275;0;0;0
276;4583;5298;0;0;0
277;4601;5321;0;0;0
278;4625;5344;0;0;0
279;4643;5367;0;0;0
280;4663;5390;0;0;0
281;4681;5413;0;0;0
282;4703;5436;0;0;0
283;4721;5459;0;0;0
284;4741;5482;0;0;0
285;4759;5505;0;0;0
286;4787;5528;0;0;0
287;4805;5551;0;0;0
288;4825;5574;0;0;0
289;4843;5597;0;0;0
290;4865;5620;0;0;0
291;4883;5643;0;0;0
292;4903;5666;0;0;0
293;4921;5689;0;0;0
294;4945;5712;0;0;0
295;4963;5735;0;0;0
296;4983;5758;0;0;0
297;5001;5781;0;0;0
298;5023;5804;0;0;0
299;5041;5827;0;0;0
300;5061;5850;0;0;0
301;5079;5873;0;0;0
302;5105;5896;0;0;0
303;5123;5919;0;0;0
304;5143;5942;0;0;0
305;5161;5965;0;0;0
306;5183;5988;0;0;0
307;5201;6011;0;0;0
308;5221;6034;0;0;0
309;5239;6057;0;0;0
310;5263;6080;0;0;0
311;5281;6103;0;0;0
312;5301;6126;0;0;0
313;5319;6149;0;0;0
314;5341;6172;0;0;0
315;5359;6195;0;0;0
316;5379;6218;0;0;0
317;5397;6241;0;0;0
318;5427;6264;0;0;0
319;5445;6287;0;0;0
320;5465;6310;0;0;0
321;5483;6333;0;0;0
322;5505;6356;0;0;0
323;5523;6379;0;0;0
324;5543;6402;0;0;0
325;5561;6425;0;0;0
326;5585;6448;0;0;0
327;5603;6471;0;0;0
328;5623;6494;0;0;0
329;5641;6517;0;0;0
330;5663;6540;0;0;0
331;5681;6563;0;0;0
332;5701;6586;0;0;0
333;5719;6609;0;0;0
334;5745;6632;0;0;0
335;5763;6655;0;0;0
336;5783;6678;0;0;0
337;5801;6701;0;0;0
338;5823;6724;0;0;0
339;5841;6747;0;0;0
340;5861;6770;0;0;0
341;5879;6793;0;0;0
342;5903;6816;0;0;0
343;5921;6839;0;0;0
344;5941;6862;0;0;0
345;5959;6885;0;0;0
346;5981;6908;0;0;0
347;5999;6931;0;0;0
348;6019;6954;0;0;0
349;6037;6977;0;0;0
350;6065;7000;0;0;0
351;6083;7023;0;0;0
352;6103;7046;0;0;0
353;6121;7069;0;0;0
354;6143;7092;0;0;0
355;6161;7115;0;0;0
356;6181;7138;0;0;0
357;6199;7161;0;0;0
358;6223;7184;0;0;0
359;6241;7207;0;0;0
360;6261;7230;0;0;0
361;6279;7253;0;0;0
362;6301;7276;0;0;0
363;6319;7299;0;0;0
364;6339;7322;0;0;0
365;6357;7345;0;0;0
366;6383;7368;0;0;0
367;6401;7391;0;0;0
368;6421;7414;0;0;0
369;6439;7437;0;0;0
370;6461;7460;0;0;0
371;6479;7483;0;0;0
372;6499;7506;0;0;0
373;6517;7529;0;0;0
374;6541;7552;0;0;0
375;6559;7575;0;0;0
376;6579;7598;0;0;0
377;6597;7621;0;0;0
378;6619;7644;0;0;0
379;6637;7667;0;0;0
380;6657;7690;0;0;0
381;6675;7713;0;0;0
382;6704;7736;0;0;0
383;6723;7759;0;0;0
384;6744;7782;0;0;0
385;6763;7805;0;0;0
386;6786;7828;0;0;0
387;6805;7851;0;0;0
388;6826;7874;0;0;0
389;6845;7897;0;0;0
390;6870;7920;0;0;0
391;6889;7943;0;0;0
392;6910;7966;0;0;0
393;6929;7989;0;0;0
394;6952;8012;0;0;0
395;6971;8035;0;0;0
396;6992;8058;0;0;0
397;7011;8081;0;0;0
398;7038;8104;0;0;0
399;7057;8127;0;0;0
400;7078;8150;0;0;0
401;7097;8173;0;0;0
402;7120;8196;0;0;0
403;7139;8219;0;0;0
404;7160;8242;0;0;0
405;7179;8265;0;0;0
406;7204;8288;0;0;0
407;7223;8311;0;0;0
408;7244;8334;0;0;0
409;7263;8357;0;0;0
410;7286;8380;0;0;0
411;7305;8403;0;0;0
412;7326;8426;0;0;0
413;7345;8449;0;0;0
414;7374;8472;0;0;0
415;7393;8495;0;0;0
416;7414;8518;0;0;0
417;7433;8541;0;0;0
418;7456;8564;0;0;0
419;7475;8587;0;0;0
420;7496;8610;0;0;0
421;7515;8633;0;0;0
422;7540;8656;0;0;0
423;7559;8679;0;0;0
424;7580;8702;0;0;0
425;7599;8725;0;0;0
426;7622;8748;0;0;0
427;7641;8771;0;0;0
428;7662;8794;0;0;0
429;7681;8817;0;0;0
430;7708;8840;0;0;0
431;7727;8863;0;0;0
432;7748;8886;0;0;0
433;7767;8909;0;0;0
434;7790;8932;0;0;0
435;7809;8955;0;0;0
436;7830;8978;0;0;0
437;7849;9001;0;0;0
438;7874;9024;0;0;0
439;7893;9047;0;0;0
440;7914;9070;0;0;0
441;7933;9093;0;0;0
442;7956;9116;0;0;0
443;7975;9139;0;0;0
444;7996;9162;0;0;0
445;8015;9185;0;0;0
446;8046;9208;0;0;0
447;8065;9231;0;0;0
448;8086;9254;0;0;0
449;8105;9277;0;0;0
450;8128;9300;0;0;0
451;8147;9323;0;0;0
452;8168;9346;0;0;0
453;8187;9369;0;0;0
454;8212;9392;0;0;0
455;8231;9415;0;0;0
456;8252;9438;0;0;0
457;8271;9461;0;0;0
458;8294;9484;0;0;0
459;8313;9507;0;0;0
460;8334;9530;0;0;0
461;8353;9553;0;0;0
462;8380;9576;0;0;0
463;8399;9599;0;0;0
464;8420;9622;0;0;0
465;8439;9645;0;0;0
466;8462;9668;0;0;0
467;8481;9691;0;0;0
468;8502;9714;0;0;0
469;8521;9737;0;0;0
470;8546;9760;0;0;0
471;8565;9783;0;0;0
472;8586;9806;0;0;0
473;8605;9829;0;0;0
474;8628;9852;0;0;0
475;8647;9875;0;0;0
476;8668;9898;0;0;0
477;8687;9921;0;0;0
478;8716;9944;0;0;0
479;8735;9967;0;0;0
480;8756;9990;0;0;0
481;8775;10013;0;0;0
482;8798;10036;0;0;0
483;8817;10059;0;0;0
484;8838;10082;0;0;0
485;8857;10105;0;0;0
486;8882;10128;0;0;0
