n;RN;AVL;B-1;B-5;B-10
210;2116;3453;4135;3333;3286
211;2158;3457;4154;3346;3306
212;2160;3499;4166;3382;3321
213;2180;3501;4195;3380;3328
214;2181;3544;4208;3402;3351
215;2195;3546;4260;3413;3358
216;2209;3588;4248;3431;3387
217;2224;3598;4298;3461;3402
218;2245;3640;4283;3481;3419
219;2255;3665;4324;3484;3431
220;2250;3650;4332;3513;3451
221;2243;3651;4376;3529;3467
222;2258;3663;4395;3549;3489
223;2277;3702;4427;3562;3499
224;2317;3729;4453;3580;3526
225;2324;3780;4470;3596;3536
226;2333;3779;4478;3618;3557
227;2315;3779;4506;3640;3571
228;2365;3821;4531;3647;3595
229;2364;3844;4550;3671;3610
230;2398;3866;4605;3693;3622
231;2405;3881;4590;3709;3653
232;2403;3895;4606;3723;3660
233;2395;3909;4646;3734;3675
234;2434;3910;4670;3765;3699
235;2429;3952;4691;3797;3713
236;2449;3944;4709;3804;3727
237;2471;4010;4762;3823;3745
238;2460;3998;4754;3835;3764
239;2478;4018;4802;3851;3785
240;2479;4024;4792;3870;3799
241;2507;4082;4843;3891;3820
242;2531;4078;4831;3915;3836
243;2535;4109;4888;3911;3845
244;2548;4118;4893;3941;3871
245;2565;4174;4960;3961;3887
246;2562;4180;4929;3986;3912
247;2556;4187;4955;3995;3931
248;2588;4200;4997;4015;3941
249;2600;4234;4996;4025;3966
250;2606;4226;5047;4049;3972
251;2631;4267;5046;4083;3990
252;2643;4311;5080;4080;4014
253;2659;4307;5098;4116;4020
254;2663;4326;5115;4115;4044
255;2672;4349;5162;4143;4069
256;2697;4366;5178;4160;4087
257;2700;4388;5225;4173;4105
258;2695;4374;5245;4194;4129
259;2725;4423;5242;4212;4127
260;2711;4419;5264;4229;4151
261;2747;4439;5311;4261;4178
262;2743;4461;5308;4251;4182
263;2770;4488;5319;4283;4211
264;2765;4510;5399;4297;4221
265;2800;4566;5370;4309;4248
266;2807;4577;5362;4337;4262
267;2844;4605;5433;4365;4274
268;2831;4624;5463;4377;4301
269;2817;4631;5481;4405;4312
270;2868;4655;5498;4415;4335
271;2847;4668;5535;4428;4353
272;2878;4695;5536;4445;4367
273;2875;4705;5584;4471;4384
274;2891;4704;5588;4496;4402
275;2903;4735;5623;4496;4416
276;2927;4760;5640;4524;4434
277;2931;4799;5688;4523;4449
278;2955;4801;5699;4558;4463
279;2974;4815;5729;4577;4479
280;2969;4859;5711;4592;4516
281;2979;4892;5791;4606;4532
282;3008;4892;5788;4639;4544
283;3000;4899;5784;4639;4567
284;3009;4912;5819;4667;4581
285;3010;4946;5852;4699;4589
286;3030;4969;5866;4699;4612
287;3032;4962;5923;4715;4626
288;3067;5010;5928;4748;4664
289;3099;5043;5946;4768;4662
290;3098;5061;5981;4787;4688
291;3115;5099;6006;4796;4699
292;3105;5087;6066;4831;4730
293;3132;5126;6029;4839;4746
294;3182;5180;6060;4840;4761
295;3142;5136;6096;4867;4776
296;3200;5197;6142;4889;4796
297;3179;5188;6089;4909;4807
298;3206;5216;6163;4923;4832
299;3216;5258;6186;4946;4838
300;3217;5274;6203;4957;4874
301;3208;5276;6238;4980;4879
302;3248;5292;6253;4987;4901
303;3288;5328;6306;5028;4927
304;3278;5362;6274;5031;4927
305;3261;5337;6339;5050;4948
306;3290;5377;6380;5067;4968
307;3306;5405;6358;5094;4991
308;3320;5418;6399;5104;5018
309;3336;5467;6414;5124;5041
310;3322;5458;6412;5145;5025
311;3334;5458;6475;5165;5064
312;3377;5512;6496;5192;5077
313;3380;5545;6528;5206;5101
314;3381;5540;6525;5229;5121
315;3380;5560;6577;5230;5151
316;3420;5622;6593;5256;5157
317;3420;5606;6580;5270;5169
318;3444;5621;6622;5296;5197
319;3443;5664;6692;5321;5224
320;3452;5662;6669;5340;5242
321;3464;5674;6719;5344;5261
322;3460;5683;6760;5369;5281
323;3463;5710;6749;5376;5282
324;3499;5742;6785;5395;5317
325;3502;5764;6810;5424;5308
326;3509;5789;6798;5451;5357
327;3554;5824;6829;5459;5357
328;3593;5842;6895;5497;5387
329;3538;5828;6891;5496;5404
330;3582;5882;6948;5521;5406
331;3609;5900;6970;5547;5433
332;3584;5897;6948;5558;5461
333;3618;5959;7008;5582;5475
334;3631;5968;7014;5608;5476
335;3665;5975;7037;5627;5504
336;3648;5992;7079;5635;5525
337;3626;6019;7085;5667;5564
338;3678;6033;7126;5690;5587
339;3713;6079;7164;5705;5612
340;3742;6070;7156;5702;5608
341;3723;6104;7178;5715;5615
342;3717;6081;7193;5749;5659
343;3753;6159;7245;5777;5674
344;3758;6177;7240;5799;5682
345;3776;6206;7271;5794;5725
346;3761;6183;7305;5816;5709
347;3808;6264;7322;5839;5753
348;3828;6292;7376;5859;5771
349;3836;6292;7368;5875;5769
350;3848;6289;7405;5898;5811
351;3845;6319;7415;5919;5847
352;3840;6319;7446;5946;5851
353;3846;6336;7446;5952;5852
354;3895;6385;7490;5982;5879
355;3908;6415;7535;6005;5897
356;3919;6424;7504;6013;5926
357;3893;6430;7559;6031;5936
358;3953;6458;7564;6053;5968
359;3946;6506;7584;6070;5963
360;3957;6493;7658;6081;5990
361;3984;6538;7669;6120;6019
362;3958;6535;7665;6135;6043
363;4007;6591;7718;6170;6048
364;4004;6608;7700;6154;6085
365;4021;6582;7748;6186;6080
366;4040;6659;7787;6195;6105
367;4043;6664;7809;6211;6121
368;4057;6655;7830;6241;6162
369;4071;6704;7834;6242;6171
370;4062;6721;7897;6270;6195
371;4117;6741;7942;6305;6195
372;4119;6763;7947;6315;6229
373;4094;6749;7948;6326;6231
374;4133;6790;7966;6353;6250
375;4148;6789;7999;6366;6271
376;4170;6847;7990;6385;6296
377;4195;6868;8077;6400;6322
378;4176;6868;8049;6422;6340
379;4186;6900;8095;6446;6373
380;4217;6916;8116;6468;6366
381;4221;6943;8118;6473;6394
382;4255;6980;8191;6495;6420
383;4262;7022;8187;6532;6436
384;4269;7005;8219;6539;6441
385;4272;7037;8235;6551;6476
386;4285;7031;8273;6581;6486
387;4303;7089;8285;6590;6517
388;4297;7126;8313;6617;6534
389;4336;7112;8320;6651;6544
390;4350;7187;8338;6649;6565
391;4354;7151;8369;6682;6584
392;4351;7192;8385;6697;6619
393;4387;7208;8460;6730;6628
394;4395;7226;8424;6724;6649
395;4411;7219;8479;6742;6670
396;4432;7279;8496;6749;6688
397;4472;7337;8534;6791;6704
398;4432;7317;8569;6801;6713
399;4466;7357;8574;6820;6745
400;4444;7334;8592;6837;6758
401;4496;7376;8629;6878;6800
402;4489;7379;8665;6884;6797
403;4498;7435;8684;6899;6812
404;4488;7434;8704;6933;6840
405;4527;7432;8728;6933;6857
406;4541;7503;8770;6953;6866
407;4552;7477;8783;6963;6893
408;4557;7541;8789;7016;6921
409;4565;7557;8811;7000;6935
410;4563;7529;8831;7020;6956
411;4612;7576;8875;7043;6966
412;4600;7594;8899;7085;6987
413;4630;7639;8910;7096;6997
414;4628;7647;8938;7121;7042
415;4651;7672;8984;7143;7067
416;4675;7690;8965;7148;7078
417;4665;7688;9021;7168;7096
418;4696;7730;9027;7177;7095
419;4693;7710;9028;7183;7124
420;4742;7755;9100;7235;7144
421;4714;7792;9097;7252;7160
422;4748;7818;9129;7266;7164
423;4758;7851;9184;7280;7228
424;4770;7863;9202;7311;7241
425;4771;7867;9205;7300;7258
426;4774;7920;9219;7340;7255
427;4784;7895;9279;7358;7299
428;4827;7994;9277;7379;7304
429;4812;7981;9268;7406;7328
430;4864;7990;9319;7417;7335
431;4828;8012;9357;7430;7342
432;4843;8017;9373;7454;7381
433;4901;8065;9395;7494;7392
434;4901;8065;9425;7495;7422
435;4905;8123;9429;7525;7431
436;4936;8137;9506;7532;7463
437;4944;8159;9492;7540;7471
438;4938;8137;9512;7571;7507
439;4985;8217;9581;7596;7516
440;4960;8210;9532;7594;7533
441;4979;8254;9592;7596;7545
442;4994;8234;9620;7642;7583
443;5022;8289;9642;7666;7590
444;5017;8283;9665;7671;7607
445;5018;8298;9707;7698;7623
446;5060;8322;9711;7726;7653
447;5048;8356;9737;7733;7673
448;5061;8380;9755;7748;7695
449;5098;8383;9785;7770;7702
450;5103;8430;9773;7797;7732
451;5136;8505;9819;7810;7766
452;5127;8508;9858;7823;7768
453;5149;8488;9901;7838;7776
454;5169;8509;9908;7868;7815
455;5178;8546;9952;7890;7839
456;5146;8546;9981;7894;7857
457;5212;8582;9952;7927;7874
458;5196;8604;10006;7939;7906
459;5182;8633;10034;7945;7901
460;5235;8656;10064;7992;7917
461;5259;8692;10042;7994;7941
462;5281;8699;10106;8033;7955
463;5271;8674;10117;8028;7992
464;5280;8753;10163;8069;8008
465;5278;8784;10191;8081;8027
466;5319;8785;10217;8106;8053
467;5322;8798;10201;8121;8061
468;5321;8775;10257;8113;8074
469;5340;8851;10295;8137;8098
470;5377;8864;10309;8192;8116
471;5407;8936;10339;8186;8138
472;5405;8904;10321;8194;8157
473;5389;8892;10358;8218;8173
474;5427;8957;10436;8260;8203
475;5408;8941;10436;8250;8221
476;5438;8993;10437;8298;8226
477;5485;9043;10473;8305;8252
478;5481;9074;10506;8327;8259
479;5501;9067;10530;8343;8287
480;5465;9066;10533;8381;8299
481;5505;9120;10557;8387;8328
482;5501;9091;10612;8393;8368
483;5521;9140;10614;8413;8366
484;5541;9208;10613;8440;8391
485;5575;9199;10686;8461;8416
486;5593;9240;10689;8479;8424
487;5602;9245;10717;8503;8459
488;5610;9291;10767;8510;8469
489;5613;9265;10800;8530;8482
490;5624;9267;10762;8565;8517
491;5622;9337;10806;8595;8524
492;5643;9333;10868;8617;8554
493;5636;9365;10869;8621;8558
494;5642;9373;10911;8631;8590
495;5689;9412;10932;8632;8584
496;5699;9460;10931;8655;8625
497;5736;9455;10976;8682;8649
498;5708;9465;10982;8696;8666
499;5737;9490;10992;8738;8676
500;5731;9491;11043;8750;8713
501;5758;9502;11030;8770;8717
502;5758;9567;11115;8781;8738
503;5785;9562;11143;8804;8757
504;5763;9587;11143;8830;8797
505;5809;9632;11139;8857;8787
506;5819;9661;11175;8855;8805
507;5821;9649;11226;8876;8841
508;5833;9698;11258;8894;8874
509;5836;9705;11237;8928;8884
510;5868;9725;11290;8922;8897
511;5889;9745;11313;8960;8922
512;5937;9797;11352;8995;8950
513;5903;9827;11349;9002;8962
514;5940;9838;11387;9036;8982
515;5925;9840;11475;9035;8979
516;5948;9862;11420;9050;9025
517;5991;9893;11441;9089;9037
518;6001;9891;11498;9094;9060
519;6028;9953;11516;9104;9070
520;5999;9975;11556;9124;9086
521;6041;10008;11567;9131;9109
522;6018;9978;11595;9151;9140
523;6020;9989;11642;9192;9156
524;6021;10017;11642;9199;9171
525;6103;10075;11706;9240;9216
526;6096;10103;11678;9249;9215
527;6082;10094;11732;9253;9236
528;6089;10152;11743;9288;9260
529;6162;10179;11778;9335;9284
530;6152;10172;11753;9326;9291
531;6144;10189;11754;9352;9307
532;6185;10260;11822;9357;9344
533;6150;10270;11823;9377;9349
534;6154;10275;11871;9405;9374
535;6189;10276;11915;9415;9389
536;6162;10289;11958;9427;9409
537;6205;10322;12006;9436;9440
538;6246;10353;11977;9456;9457
539;6262;10398;12009;9504;9469
540;6278;10386;12032;9506;9498
541;6263;10449;12083;9545;9518
542;6326;10448;12096;9560;9516
543;6281;10480;12046;9560;9568
544;6308;10484;12124;9578;9573
545;6348;10538;12178;9621;9612
546;6348;10554;12168;9629;9601
547;6379;10580;12190;9660;9644
548;6396;10608;12254;9686;9656
549;6380;10568;12235;9672;9651
550;6403;10638;12269;9707;9691
551;6457;10724;12318;9746;9711
552;6416;10639;12332;9750;9746
553;6443;10666;12346;9758;9755
554;6462;10700;12350;9793;9760
555;6456;10691;12439;9806;9787
556;6528;10772;12466;9823;9802
557;6488;10766;12490;9850;9843
558;6483;10809;12498;9875;9852
559;6548;10853;12535;9888;9862
560;6540;10817;12543;9909;9884
561;6527;10816;12533;9926;9909
562;6564;10875;12645;9937;9951
563;6506;10894;12654;9967;9953
564;6596;10922;12656;9974;9962
565;6552;10890;12680;10006;9972
566;6644;10952;12667;10023;10019
567;6653;10999;12719;10027;10021
568;6647;11040;12763;10068;10034
569;6665;11051;12762;10065;10075
570;6711;11096;12836;10098;10089
571;6646;11043;12838;10120;10105
572;6687;11116;12879;10118;10119
573;6686;11133;12867;10147;10131
574;6729;11177;12960;10166;10169
575;6736;11186;12949;10177;10180
576;6741;11191;12943;10204;10211
577;6760;11243;12976;10243;10225
578;6768;11255;13039;10235;10253
579;6783;11283;13015;10269;10275
580;6793;11276;13085;10313;10284
581;6793;11321;13036;10327;10299
582;6846;11357;13114;10334;10307
583;6824;11366;13132;10354;10361
584;6865;11420;13154;10389;10383
585;6871;11401;13124;10379;10383
586;6859;11441;13202;10416;10416
587;6897;11454;13225;10433;10427
588;6930;11481;13263;10421;10438
589;6867;11514;13271;10475;10451
590;6952;11548;13253;10488;10506
591;6936;11540;13308;10491;10493
592;6959;11557;13355;10524;10530
593;6969;11564;13371;10556;10568
594;6961;11602;13408;10571;10578
595;6947;11643;13396;10580;10585
596;7022;11648;13470;10599;10619
597;7006;11689;13405;10619;10641
598;7031;11723;13520;10624;10649
599;7044;11728;13482;10654;10665
600;7090;11752;13525;10669;10698
601;7067;11770;13569;10700;10700
602;7064;11791;13604;10733;10718
603;7087;11769;13603;10738;10749
604;7076;11823;13703;10760;10766
605;7114;11856;13672;10769;10791
606;7166;11889;13704;10797;10790
607;7110;11878;13750;10827;10836
608;7164;11885;13793;10841;10844
609;7144;11999;13727;10858;10862
610;7217;11944;13777;10882;10875
611;7211;12001;13812;10907;10918
612;7221;12007;13828;10928;10935
613;7251;12037;13864;10920;10951
614;7225;12049;13902;10946;10973
615;7258;12088;13904;10951;10999
616;7289;12125;13897;10982;11003
617;7292;12125;13994;11003;11018
618;7282;12120;13983;11027;11046
619;7363;12151;14022;11033;11061
620;7302;12201;14046;11061;11070
621;7326;12193;14101;11126;11116
622;7331;12240;14083;11105;11129
623;7377;12249;14131;11116;11132
624;7360;12270;14134;11154;11169
625;7405;12299;14250;11174;11171
626;7389;12349;14186;11187;11198
627;7428;12383;14218;11210;11221
628;7405;12360;14286;11220;11259
629;7445;12364;14346;11254;11261
630;7482;12432;14309;11290;11272
631;7493;12477;14331;11284;11316
632;7463;12486;14399;11316;11325
633;7501;12501;14400;11331;11353
634;7533;12481;14414;11319;11361
635;7504;12500;14505;11369;11412
636;7552;12581;14476;11405;11406
637;7528;12565;14519;11397;11434
638;7531;12571;14554;11440;11465
639;7547;12644;14570;11446;11474
640;7565;12607;14574;11465;11477
641;7583;12663;14615;11484;11480
642;7651;12677;14615;11523;11522
643;7597;12711;14644;11513;11565
644;7648;12751;14702;11574;11544
645;7677;12769;14686;11550;11602
646;7680;12815;14753;11591;11615
647;7688;12764;14733;11589;11639
648;7665;12833;14752;11623;11673
649;7706;12829;14840;11628;11678
650;7706;12856;14857;11647;11692
651;7742;12898;14890;11688;11710
652;7749;12922;14838;11700;11730
653;7786;12945;14901;11717;11767
654;7800;12960;14934;11734;11763
655;7788;12979;14915;11749;11800
656;7793;13006;15007;11821;11788
657;7829;13050;15049;11812;11862
658;7849;13095;15069;11840;11859
659;7860;13044;15053;11845;11865
660;7879;13080;15021;11878;11891
661;7850;13106;15178;11888;11917
662;7859;13122;15094;11899;11931
663;7936;13192;15150;11929;11963
664;7902;13189;15251;11946;11983
665;7940;13230;15264;11962;11998
666;7909;13245;15270;11986;12020
667;7938;13285;15281;12026;12052
668;7984;13292;15298;12027;12082
669;7952;13343;15349;12034;12090
670;8027;13350;15331;12067;12088
671;8003;13359;15362;12063;12102
672;7998;13355;15390;12112;12131
673;8026;13414;15449;12117;12138
674;8011;13401;15480;12150;12180
675;8022;13435;15450;12143;12186
676;8075;13500;15490;12180;12225
677;8059;13415;15611;12199;12247
678;8140;13488;15638;12229;12257
679;8126;13545;15549;12257;12260
680;8117;13581;15604;12255;12295
681;8194;13638;15614;12280;12319
682;8135;13637;15656;12327;12318
683;8148;13659;15654;12324;12375
684;8200;13654;15741;12343;12403
685;8159;13621;15747;12367;12406
686;8193;13709;15747;12392;12400
687;8241;13712;15731;12407;12434
688;8236;13755;15811;12432;12439
689;8205;13737;15837;12429;12481
690;8258;13748;15890;12467;12509
691;8312;13854;15885;12493;12484
692;8316;13856;15858;12491;12530
693;8306;13864;15940;12506;12562
694;8331;13883;15966;12535;12594
695;8311;13917;16024;12545;12607
696;8321;13913;15971;12608;12613
