n;RN;AVL;B-1;B-5;B-10
241;2491;4061;0;0;0
242;2489;4057;0;0;0
243;2525;4087;0;0;0
244;2538;4123;0;0;0
245;2556;4155;0;0;0
246;2562;4178;0;0;0
247;2572;4186;0;0;0
248;2595;4216;0;0;0
249;2614;4264;0;0;0
250;2626;4259;0;0;0
251;2625;4265;0;0;0
252;2641;4288;0;0;0
253;2658;4333;0;0;0
254;2678;4343;0;0;0
255;2680;4363;0;0;0
256;2698;4387;0;0;0
257;2704;4392;0;0;0
258;2718;4412;0;0;0
259;2723;4410;0;0;0
260;2729;4441;0;0;0
261;2732;4459;0;0;0
262;2760;4482;0;0;0
263;2767;4498;0;0;0
264;2786;4550;0;0;0
265;2768;4562;0;0;0
266;2839;4572;0;0;0
267;2815;4599;0;0;0
268;2817;4600;0;0;0
269;2825;4636;0;0;0
270;2867;4674;0;0;0
271;2862;4665;0;0;0
272;2881;4676;0;0;0
273;2904;4735;0;0;0
274;2904;4745;0;0;0
275;2920;4800;0;0;0
276;2914;4768;0;0;0
277;2941;4790;0;0;0
278;2946;4821;0;0;0
279;2968;4854;0;0;0
280;2957;4840;0;0;0
281;2999;4875;0;0;0
282;3020;4900;0;0;0
283;2997;4891;0;0;0
284;3048;4969;0;0;0
285;3045;4952;0;0;0
286;3030;4954;0;0;0
287;3061;4981;0;0;0
288;3080;4999;0;0;0
289;3074;5034;0;0;0
290;3099;5051;0;0;0
291;3111;5072;0;0;0
292;3094;5096;0;0;0
293;3125;5105;0;0;0
294;3187;5170;0;0;0
295;3161;5157;0;0;0
296;3167;5152;0;0;0
297;3184;5184;0;0;0
298;3186;5210;0;0;0
299;3184;5230;0;0;0
300;3227;5272;0;0;0
301;3238;5290;0;0;0
302;3254;5317;0;0;0
303;3262;5320;0;0;0
304;3260;5331;0;0;0
305;3267;5350;0;0;0
306;3288;5385;0;0;0
307;3273;5356;0;0;0
308;3315;5431;0;0;0
309;3302;5417;0;0;0
310;3344;5458;0;0;0
311;3377;5483;0;0;0
312;3372;5493;0;0;0
313;3384;5538;0;0;0
314;3401;5553;0;0;0
315;3391;5568;0;0;0
316;3424;5596;0;0;0
317;3439;5588;0;0;0
318;3439;5655;0;0;0
319;3445;5630;0;0;0
320;3430;5676;0;0;0
321;3457;5670;0;0;0
322;3515;5733;0;0;0
323;3495;5714;0;0;0
324;3513;5765;0;0;0
325;3528;5774;0;0;0
326;3527;5795;0;0;0
327;3542;5830;0;0;0
328;3578;5834;0;0;0
329;3584;5848;0;0;0
330;3583;5880;0;0;0
331;3632;5906;0;0;0
332;3597;5896;0;0;0
333;3632;5960;0;0;0
334;3627;5930;0;0;0
335;3643;5998;0;0;0
336;3662;5987;0;0;0
337;3639;6023;0;0;0
338;3720;6069;0;0;0
339;3695;6077;0;0;0
340;3732;6100;0;0;0
341;3734;6112;0;0;0
342;3705;6121;0;0;0
343;3733;6119;0;0;0
344;3737;6175;0;0;0
345;3764;6188;0;0;0
346;3808;6204;0;0;0
347;3819;6255;0;0;0
348;3778;6217;0;0;0
349;3806;6289;0;0;0
350;3843;6272;0;0;0
351;3889;6316;0;0;0
352;3843;6334;0;0;0
353;3872;6353;0;0;0
354;3861;6374;0;0;0
355;3893;6373;0;0;0
356;3891;6408;0;0;0
357;3933;6429;0;0;0
358;3943;6458;0;0;0
359;3948;6476;0;0;0
360;3983;6526;0;0;0
361;3949;6542;0;0;0
362;3998;6547;0;0;0
363;4011;6564;0;0;0
364;4025;6579;0;0;0
365;4012;6592;0;0;0
366;4043;6640;0;0;0
367;4044;6674;0;0;0
368;4074;6702;0;0;0
369;4048;6686;0;0;0
370;4100;6704;0;0;0
371;4112;6762;0;0;0
372;4107;6768;0;0;0
373;4113;6776;0;0;0
374;4166;6787;0;0;0
375;4132;6798;0;0;0
376;4126;6792;0;0;0
377;4199;6892;0;0;0
378;4166;6877;0;0;0
379;4203;6918;0;0;0
380;4218;6920;0;0;0
381;4229;6966;0;0;0
382;4241;6943;0;0;0
383;4280;6998;0;0;0
384;4263;7018;0;0;0
385;4301;7045;0;0;0
386;4279;7052;0;0;0
387;4311;7091;0;0;0
388;4311;7092;0;0;0
389;4342;7131;0;0;0
390;4327;7145;0;0;0
391;4384;7212;0;0;0
392;4370;7193;0;0;0
393;4374;7238;0;0;0
394;4397;7244;0;0;0
395;4402;7226;0;0;0
396;4413;7291;0;0;0
397;4433;7290;0;0;0
398;4403;7291;0;0;0
399;4443;7311;0;0;0
400;4477;7349;0;0;0
401;4500;7372;0;0;0
402;4441;7357;0;0;0
403;4534;7415;0;0;0
404;4529;7456;0;0;0
405;4531;7435;0;0;0
406;4536;7505;0;0;0
407;4560;7517;0;0;0
408;4569;7477;0;0;0
409;4574;7532;0;0;0
410;4633;7639;0;0;0
411;4587;7564;0;0;0
412;4592;7630;0;0;0
413;4676;7655;0;0;0
414;4635;7634;0;0;0
415;4642;7671;0;0;0
416;4659;7689;0;0;0
417;4719;7728;0;0;0
418;4703;7718;0;0;0
419;4704;7766;0;0;0
420;4722;7786;0;0;0
421;4754;7809;0;0;0
422;4758;7851;0;0;0
423;4759;7843;0;0;0
424;4764;7894;0;0;0
425;4793;7880;0;0;0
426;4801;7912;0;0;0
427;4809;7943;0;0;0
428;4856;7994;0;0;0
429;4823;7951;0;0;0
430;4845;7968;0;0;0
431;4845;8004;0;0;0
432;4876;8034;0;0;0
433;4865;8039;0;0;0
434;4877;8044;0;0;0
435;4878;8092;0;0;0
436;4931;8115;0;0;0
437;4925;8181;0;0;0
438;4916;8116;0;0;0
439;4955;8231;0;0;0
440;4971;8240;0;0;0
441;4952;8217;0;0;0
442;4984;8249;0;0;0
443;5013;8264;0;0;0
444;5058;8312;0;0;0
445;5059;8345;0;0;0
446;5019;8358;0;0;0
447;5057;8406;0;0;0
448;5082;8350;0;0;0
449;5109;8399;0;0;0
450;5082;8396;0;0;0
451;5097;8446;0;0;0
452;5109;8488;0;0;0
453;5143;8488;0;0;0
454;5183;8520;0;0;0
455;5165;8560;0;0;0
456;5176;8553;0;0;0
457;5212;8573;0;0;0
458;5201;8587;0;0;0
459;5208;8631;0;0;0
460;5229;8663;0;0;0
461;5252;8674;0;0;0
462;5242;8705;0;0;0
463;5257;8704;0;0;0
464;5282;8756;0;0;0
465;5298;8750;0;0;0
466;5313;8769;0;0;0
467;5301;8777;0;0;0
468;5336;8827;0;0;0
469;5317;8830;0;0;0
470;5343;8849;0;0;0
471;5341;8884;0;0;0
472;5396;8911;0;0;0
473;5389;8916;0;0;0
474;5424;8967;0;0;0
475;5441;8996;0;0;0
476;5412;8993;0;0;0
477;5437;9037;0;0;0
478;5475;8994;0;0;0
479;5480;9072;0;0;0
480;5499;9085;0;0;0
481;5488;9096;0;0;0
482;5520;9128;0;0;0
483;5515;9125;0;0;0
484;5548;9166;0;0;0
485;5545;9163;0;0;0
486;5545;9208;0;0;0
487;5588;9219;0;0;0
488;5567;9231;0;0;0
489;5597;9260;0;0;0
490;5597;9274;0;0;0
491;5650;9318;0;0;0
492;5642;9360;0;0;0
493;5668;9376;0;0;0
494;5659;9384;0;0;0
495;5712;9421;0;0;0
496;5691;9427;0;0;0
497;5687;9421;0;0;0
498;5731;9484;0;0;0
499;5771;9507;0;0;0
500;5795;9540;0;0;0
501;5759;9537;0;0;0
502;5764;9595;0;0;0
503;5776;9569;0;0;0
504;5799;9600;0;0;0
505;5814;9638;0;0;0
506;5822;9680;0;0;0
507;5823;9703;0;0;0
508;5823;9701;0;0;0
509;5852;9710;0;0;0
510;5882;9681;0;0;0
511;5875;9772;0;0;0
512;5879;9770;0;0;0
513;5888;9805;0;0;0
514;5920;9804;0;0;0
515;5950;9836;0;0;0
516;5949;9848;0;0;0
517;5983;9914;0;0;0
518;5967;9913;0;0;0
519;5980;9934;0;0;0
520;6025;9937;0;0;0
521;6032;9960;0;0;0
522;6010;10009;0;0;0
523;6056;10058;0;0;0
524;6062;10034;0;0;0
525;6093;10115;0;0;0
526;6112;10087;0;0;0
527;6077;10092;0;0;0
528;6092;10135;0;0;0
529;6104;10114;0;0;0
530;6147;10239;0;0;0
531;6154;10209;0;0;0
532;6158;10216;0;0;0
533;6160;10286;0;0;0
534;6236;10283;0;0;0
535;6199;10275;0;0;0
536;6223;10315;0;0;0
537;6230;10324;0;0;0
538;6219;10328;0;0;0
539;6237;10380;0;0;0
540;6246;10343;0;0;0
541;6249;10400;0;0;0
542;6316;10478;0;0;0
543;6316;10479;0;0;0
544;6333;10480;0;0;0
545;6346;10521;0;0;0
546;6313;10505;0;0;0
547;6342;10588;0;0;0
548;6390;10568;0;0;0
549;6386;10571;0;0;0
550;6388;10604;0;0;0
551;6439;10673;0;0;0
552;6389;10641;0;0;0
553;6478;10703;0;0;0
554;6372;10674;0;0;0
555;6449;10727;0;0;0
556;6457;10727;0;0;0
557;6515;10770;0;0;0
558;6486;10770;0;0;0
559;6492;10783;0;0;0
560;6554;10868;0;0;0
561;6539;10897;0;0;0
562;6549;10846;0;0;0
563;6530;10850;0;0;0
