n;RN;AVL;B-1;B-5;B-10
238;0;0;2681;2090;1914
239;0;0;2617;2058;1892
240;0;0;2718;2065;1914
241;0;0;2702;2130;1950
242;0;0;2765;2088;1937
243;0;0;2709;2084;1971
244;0;0;2752;2125;1968
245;0;0;2718;2089;1969
246;0;0;2760;2156;1998
247;0;0;2759;2168;2001
248;0;0;2766;2146;1990
249;0;0;2779;2198;2024
250;0;0;2849;2207;2039
251;0;0;2816;2186;2026
252;0;0;2859;2213;2036
253;0;0;2912;2217;2050
254;0;0;2876;2221;2067
255;0;0;2870;2222;2055
256;0;0;2893;2240;2073
257;0;0;2882;2250;2083
258;0;0;2903;2273;2103
259;0;0;2971;2294;2118
260;0;0;2968;2300;2124
261;0;0;2996;2321;2110
262;0;0;2981;2336;2165
263;0;0;2981;2334;2157
264;0;0;3078;2358;2156
265;0;0;3028;2374;2176
266;0;0;3069;2380;2194
267;0;0;3088;2376;2201
268;0;0;3055;2402;2235
269;0;0;3135;2395;2209
270;0;0;3115;2382;2221
271;0;0;3175;2423;2248
272;0;0;3150;2428;2232
273;0;0;3148;2451;2260
274;0;0;3153;2454;2277
275;0;0;3223;2453;2278
276;0;0;3215;2461;2274
277;0;0;3246;2482;2290
278;0;0;3221;2473;2293
279;0;0;3216;2453;2272
280;0;0;3237;2496;2301
281;0;0;3254;2525;2347
282;0;0;3286;2503;2327
283;0;0;3297;2556;2346
284;0;0;3301;2598;2367
285;0;0;3289;2565;2341
286;0;0;3400;2623;2399
287;0;0;3376;2587;2395
288;0;0;3362;2618;2423
289;0;0;3392;2614;2429
290;0;0;3425;2675;2409
291;0;0;3424;2622;2440
292;0;0;3506;2650;2430
293;0;0;3419;2636;2430
294;0;0;3467;2661;2471
295;0;0;3595;2709;2468
296;0;0;3497;2698;2491
297;0;0;3535;2708;2494
298;0;0;3561;2696;2496
299;0;0;3574;2740;2507
300;0;0;3627;2777;2528
301;0;0;3554;2760;2523
302;0;0;3558;2755;2549
303;0;0;3534;2737;2537
304;0;0;3651;2776;2587
305;0;0;3632;2816;2586
306;0;0;3768;2819;2586
307;0;0;3700;2874;2600
308;0;0;3689;2828;2598
309;0;0;3704;2821;2626
310;0;0;3760;2886;2643
311;0;0;3711;2873;2614
312;0;0;3812;2935;2656
313;0;0;3758;2859;2650
314;0;0;3774;2919;2676
315;0;0;3812;2907;2693
316;0;0;3786;2952;2695
317;0;0;3806;2925;2684
318;0;0;3822;2962;2685
319;0;0;3812;2898;2678
320;0;0;3899;2979;2749
321;0;0;3924;2973;2761
322;0;0;3953;2997;2763
323;0;0;3904;3014;2750
324;0;0;3887;2948;2737
325;0;0;3907;3010;2778
326;0;0;3992;3029;2788
327;0;0;3958;3049;2816
328;0;0;4012;3061;2863
329;0;0;4074;3083;2835
330;0;0;4028;3067;2861
331;0;0;4079;3152;2892
332;0;0;4041;3102;2841
333;0;0;4075;3077;2868
334;0;0;4053;3144;2906
335;0;0;4039;3115;2886
336;0;0;4166;3195;2937
337;0;0;4096;3136;2893
338;0;0;4219;3163;2948
339;0;0;4164;3219;2969
340;0;0;4205;3214;2981
341;0;0;4202;3212;2975
342;0;0;4168;3212;2961
343;0;0;4361;3264;3019
344;0;0;4129;3210;2987
345;0;0;4290;3279;2998
346;0;0;4270;3287;3039
347;0;0;4217;3256;3002
348;0;0;4294;3249;3054
349;0;0;4258;3258;3045
350;0;0;4329;3298;3075
351;0;0;4395;3354;3120
352;0;0;4293;3302;3068
353;0;0;4408;3304;3053
354;0;0;4324;3383;3148
355;0;0;4340;3373;3133
356;0;0;4502;3391;3151
357;0;0;4337;3310;3131
358;0;0;4373;3316;3120
359;0;0;4386;3368;3137
360;0;0;4465;3381;3140
361;0;0;4450;3380;3189
362;0;0;4573;3504;3204
363;0;0;4482;3420;3206
364;0;0;4696;3490;3302
365;0;0;4546;3441;3218
366;0;0;4627;3517;3263
367;0;0;4617;3478;3239
368;0;0;4686;3525;3303
369;0;0;4663;3494;3309
370;0;0;4617;3481;3249
371;0;0;4702;3623;3317
372;0;0;4742;3578;3374
373;0;0;4704;3508;3335
374;0;0;4727;3549;3322
375;0;0;4720;3560;3340
376;0;0;4700;3598;3367
377;0;0;4788;3583;3421
378;0;0;4773;3565;3407
379;0;0;4766;3638;3409
380;0;0;4772;3593;3355
381;0;0;4741;3598;3387
382;0;0;4888;3650;3450
383;0;0;4817;3687;3490
384;0;0;4894;3708;3432
385;0;0;4956;3681;3458
386;0;0;4844;3711;3479
387;0;0;4868;3724;3506
388;0;0;4823;3659;3470
389;0;0;4866;3703;3505
390;0;0;4970;3795;3552
391;0;0;4979;3717;3495
392;0;0;5019;3778;3542
393;0;0;4870;3721;3541
394;0;0;5009;3874;3613
395;0;0;4973;3785;3552
396;0;0;5099;3869;3631
397;0;0;4942;3773;3546
398;0;0;5102;3823;3608
399;0;0;5104;3863;3666
400;0;0;5010;3829;3612
401;0;0;5006;3805;3596
402;0;0;5122;3893;3660
403;0;0;5172;3868;3672
404;0;0;5193;3895;3689
405;0;0;5256;3958;3711
406;0;0;5157;3898;3687
407;0;0;5300;3977;3748
408;0;0;5298;3991;3756
409;0;0;5291;4011;3767
410;0;0;5220;3959;3748
411;0;0;5290;3998;3765
412;0;0;5288;4030;3805
413;0;0;5108;3937;3726
414;0;0;5447;4016;3836
415;0;0;5300;4019;3797
416;0;0;5357;4054;3839
417;0;0;5475;4076;3851
418;0;0;5265;4044;3784
419;0;0;5435;4091;3872
420;0;0;5369;4113;3887
421;0;0;5345;4078;3904
422;0;0;5410;4073;3858
423;0;0;5455;4108;3879
424;0;0;5458;4140;3894
425;0;0;5459;4128;3938
